Date,Financials,Consumer Staples,Materials,Energy,Industrials,Health Care,Communication Services,Utilities,Consumer Discretionary,Information Technology,Real Estate
5/31/23,0.157898046,0.117363174,0.060122174,0.050423468,0.146109093,0.151285359,0.036577027,0.046938445,0.162404109,0.060707439,0.010171667
6/30/23,0.160145138,0.116319159,0.059517004,0.051052984,0.148039287,0.145760655,0.034786695,0.046513793,0.16776154,0.060188878,0.009914867
7/31/23,0.164361713,0.114710945,0.061527359,0.051865005,0.147385076,0.146302572,0.034806291,0.044798346,0.164771009,0.058677086,0.010794599
8/31/23,0.163726706,0.117826054,0.059336269,0.054950331,0.152025134,0.156515443,0.035947495,0.0456554,0.145603088,0.056922027,0.011492052
9/30/23,0.168244771,0.11603722,0.060814556,0.059522299,0.15280659,0.15809292,0.037115669,0.044677186,0.136249543,0.055126271,0.011312973
10/31/23,0.166650424,0.118304988,0.061411684,0.061349334,0.150325679,0.155778759,0.037479486,0.046658094,0.133475436,0.057195577,0.011370538
11/30/23,0.168692073,0.114852975,0.060181507,0.056334193,0.155593453,0.151476509,0.037340818,0.04699536,0.135151324,0.061052369,0.012329418
12/31/23,0.169475506,0.112201955,0.062517416,0.053606619,0.160610126,0.150449986,0.036322033,0.046238793,0.133806575,0.061377022,0.013393968
1/31/24,0.169573473,0.111232324,0.059850062,0.051524866,0.159647939,0.15423324,0.036938624,0.04378126,0.134314977,0.066240894,0.012662341
2/29/24,0.177251217,0.110600329,0.059156023,0.045702226,0.16960156,0.119737821,0.037421514,0.041662534,0.15223246,0.074216778,0.012417539
3/31/24,0.187184735,0.11066374,0.058880165,0.048157712,0.166872599,0.105342193,0.038364237,0.042759879,0.15409922,0.074626538,0.013048982
4/30/24,0.174377141,0.104097654,0.060402452,0.053426687,0.163882098,0.154914111,0.035366446,0.041293319,0.135543956,0.064469368,0.01222677
5/31/24,0.176856892,0.103706973,0.060167865,0.051325747,0.167500689,0.154581854,0.036038044,0.041790759,0.130928072,0.064842159,0.012260946
6/30/24,0.173460479,0.101003181,0.059218966,0.051264343,0.163850606,0.162252725,0.035960298,0.041025683,0.128915451,0.071128491,0.011919779
7/31/24,0.17801415,0.101365228,0.05837003,0.050120752,0.166962734,0.163780708,0.036010737,0.042902589,0.123514503,0.066623368,0.0123352
8/31/24,0.177279374,0.102181873,0.057318932,0.047875697,0.165758624,0.168230533,0.036593175,0.043445083,0.123466415,0.065175814,0.012674481
9/30/24,0.180342307,0.103335476,0.060162662,0.044457691,0.168401432,0.157771813,0.037497767,0.044905317,0.125924313,0.063704692,0.01349653
10/31/24,0.185067496,0.100045466,0.057651817,0.046020201,0.172456812,0.157530296,0.038398863,0.044529598,0.123719239,0.061638373,0.012941839
11/30/24,0.186991779,0.098531883,0.055852901,0.045924532,0.176063299,0.155952926,0.038507531,0.044532567,0.120685642,0.063923569,0.013033371
