ticker,gics_sector_name
P911 GY Equity,Consumer Discretionary
PAGE LN Equity,Industrials
PAH3 GY Equity,Consumer Discretionary
PARG SE Equity,Financials
PEO PW Equity,Financials
PFC LN Equity,Energy
PFD LN Equity,Consumer Staples
PFG LN Equity,Financials
PGHN SE Equity,Financials
PGN PW Equity,Energy
PGS NO Equity,Energy
PHAR LN Equity,Energy
PHIA NA Equity,Health Care
PHNX LN Equity,Financials
PHP LN Equity,Real Estate
PHR PL Equity,Communication Services
PIRC IM Equity,Consumer Discretionary
PKN PW Equity,Energy
PKO PW Equity,Financials
PNDORA DC Equity,Consumer Discretionary
PNL NA Equity,Industrials
PNN LN Equity,Utilities
POG LN Equity,Materials
POLY LN Equity,Materials
POM FP Equity,Consumer Discretionary
POST AV Equity,Industrials
PPC GA Equity,Utilities
PPHN SE Equity,
PROX BB Equity,Communication Services
PRS NO Equity,Energy
PRS SM Equity,Communication Services
PRU LN Equity,Financials
PRX NA Equity,Consumer Discretionary
PRY IM Equity,Industrials
PSM GY Equity,Communication Services
PSN LN Equity,Consumer Discretionary
PSON LN Equity,Consumer Discretionary
PSPN SE Equity,Real Estate
PST IM Equity,Financials
PTEC LN Equity,Consumer Discretionary
PUB FP Equity,Communication Services
PUM GY Equity,Consumer Discretionary
PWTN SE Equity,Industrials
PZC LN Equity,Consumer Staples
PZU PW Equity,Financials
QCE GY Equity,Information Technology
QDT FP Equity,Information Technology
QIA GY Equity,Health Care
QLT LN Equity,Financials
QQ/ LN Equity,Industrials
QTCOM FH Equity,Information Technology
RAA GY Equity,Industrials
RACE IM Equity,Consumer Discretionary
RAND NA Equity,Industrials
RATOB SS Equity,Financials
RBI AV Equity,Financials
RBREW DC Equity,Consumer Staples
RCH LN Equity,Communication Services
RCO FP Equity,Consumer Staples
RCS IM Equity,Communication Services
RDSA LN Equity,Energy
RDSA NA Equity,Energy
RDW LN Equity,Consumer Discretionary
REC IM Equity,Health Care
RECSI NO Equity,Information Technology
RED SM Equity,Utilities
REE SM Equity,Utilities
REL LN Equity,Industrials
REP SM Equity,Energy
REY IM Equity,Information Technology
RF FP Equity,Financials
RHK GY Equity,Health Care
RHM GY Equity,Industrials
RI FP Equity,Consumer Staples
RIEN SE Equity,Industrials
RILBA DC Equity,Financials
RIO LN Equity,Materials
RKT LN Equity,Consumer Staples
RMG LN Equity,Industrials
RMS FP Equity,Consumer Discretionary
RMV LN Equity,Communication Services
RNK LN Equity,Consumer Discretionary
RNO FP Equity,Consumer Discretionary
ROCKB DC Equity,Industrials
ROG SE Equity,Health Care
ROO LN Equity,Consumer Discretionary
ROR LN Equity,Industrials
ROSE SE Equity,Consumer Staples
RPC LN Equity,Materials
RR/ LN Equity,Industrials
RRS LN Equity,Materials
RRTL GY Equity,Communication Services
RS1 LN Equity,Industrials
RSA LN Equity,Financials
RTL BB Equity,Communication Services
RTL LX Equity,Communication Services
RTN LN Equity,Consumer Discretionary
RTO LN Equity,Industrials
RUI FP Equity,Utilities
RWE GY Equity,Utilities
RXL FP Equity,Industrials
RYA ID Equity,Industrials
SAA1V FH Equity,Communication Services
SAABB SS Equity,Industrials
SAB SM Equity,Financials
SAE GY Equity,Consumer Staples
SAF FP Equity,Industrials
SAFE LN Equity,Real Estate
SAGA LN Equity,Financials
SAGAB SS Equity,Real Estate
SALM NO Equity,Consumer Staples
SAMPO FH Equity,Financials
SAN FP Equity,Health Care
SAN SM Equity,Financials
SAND SS Equity,Industrials
SAP GY Equity,Information Technology
SAVE SS Equity,Financials
SAZ GY Equity,Health Care
SBBB SS Equity,Real Estate
SBMO NA Equity,Energy
SBRY LN Equity,Consumer Staples
SCAB SS Equity,Materials
SCATC NO Equity,Utilities
SCH GY Equity,
SCHA NO Equity,Communication Services
SCHP SE Equity,Industrials
SCMN SE Equity,Communication Services
SCR FP Equity,Financials
SCT LN Equity,Information Technology
SCYR SM Equity,Industrials
SDF GY Equity,Materials
SDR LN Equity,Financials
SDZ SE Equity,Health Care
SEBA SS Equity,Financials
SECTB SS Equity,Health Care
SECUB SS Equity,Industrials
SESG FP Equity,Communication Services
SEV FP Equity,Utilities
SFOR LN Equity,Communication Services
SFSN SE Equity,Industrials
